earthquake id	city name	distance
usb000j13i	Ishinomaki	167.8442828590755
usb000j13i	Ichihara	194.51211470356995
usb000j13i	Hitachi	64.3804433825028
usb000j13i	Fukushima-shi	118.8435182716349
usb000j13i	Chiba	184.03704267080283
usb000j13i	Abiko	170.4362343857112
usb000j13i	Edogawa-ku	193.94025586981758
usb000j13i	Hitachi-Naka	88.23701944844933
usb000j13i	Kamagaya-shi	178.66182367245761
usb000j13i	Saitama	198.88351714034243
usb000j13i	Adachi-ku	195.32335022112716
usb000j13i	Arakawa-ku	199.6093061879284
usb000j13i	Katsushika-ku	194.09107366367562
usb000j13i	Sumida-ku	199.76753180771973
usb000j13i	Sendai	152.15366045764267
usb000j10u	Sullana	142.35222272269314
usb000j10u	Piura	139.4144176506564
usb000j0zw	Manado	171.48661998536824
